Gene Name,Value 1
PA2112,0.314473
PA0214,0
opdO,0
PA2114,0
PA2115,0
PA2116,0.403118
PA2117,0
ada,0
PA2118a,0
PA2119,0.944981
PA2120,0
PA2121,0
PA0215,0
PA2122,0
PA2123,0
PA2124,0
PA2125,0.197726
PA2126,0.721508
PA2127,4.45042
cupA1,0
cupA2,0.438829
cupA3,0
cupA4,0.212173
PA0216,0.303605
cupA5,0
PA2133,0
PA2134,0
PA2135,0.278812
PA2136,0
PA2137,0
PA2138,0.24862
PA2140,0
PA2141,0
PA0217,0.665966
PA2142,0
PA2142a,0
PA2143,0
glgP,0.111406
PA2145,0
PA2146,0
katE,0
PA2148,0
PA2149,0
PA2150,0
PA0218,0.445182
PA2151,0
PA2152,0.13932
glgB,0
PA2154,0
PA2155,0
PA2156,0
PA2157,0
PA2158,0
PA2159,0
PA2160,0.0925391
qor,0.951482
PA0219,0
PA2161,0
PA2162,0.0968061
PA2163,0
PA2164,0.115693
PA2165,0
PA2166,0
PA2167,0
PA2168,0
PA2169,0
PA2170,0
PA0220,0.263509
PA2171,0
PA2172,0
PA2173,0
PA2173a,0
PA2174,0
PA2175,0
PA2176,0
PA2177,0.303238
PA2178,0.408348
PA2179,0.324015
PA0221,0.274651
PA2180,0.209533
PA2181,0
PA2182,0
PA2183,0
PA2184,0
katN,0
PA2187,4.95039
PA2188,0
PA2189,0.875522
PA2190,1.41848
PA0222,0
exoY,2.44802
PA2192,0
hcnA,0
hcnB,2.80295
hcnC,0.644005
PA2196,0.811422
PA2197,0
PA2198,1.41848
PA2199,1.23042
PA2200,0.177325
PA0223,0.825279
PA2201,0
PA2202,0
PA2203,0
PA2204,2.82653
PA2205,0.575775
PA2206,0.558603
PA2207,0
PA2208,0
PA2209,1.2866
PA2210,0.376653
PA0224,0
PA2211,0
PA2212,0.299792
PA2213,0
PA2214,0
PA2215,0.502905
PA2216,0
PA2217,0
PA2218,0
opdE,0
PA2220,0.241586
PA0225,0.481667
PA2221,0
PA2222,0
PA2223,1.24835
PA2224,6.42561
PA2225,0
PA2226,0.535928
vqsM,5.25511
PA2228,1.39815
PA2229,0
PA2230,0
PA0226,1.76413
pslA,2.72731
pslB,0.538507
pslC,0.6951
pslD,0.601274
pslE,6.65557
pslF,0.179002
pslG,0.629844
pslH,0
pslI,0
pslJ,0.343772
PA0227,0.413003
pslK,0
pslL,1.91473
pslM,0
pslN,0
bkdR,0.603792
bkdA1,1.06616
bkdA2,0.492513
bkdB,0.625034
lpdV,0
PA2251,0
pcaF,0
PA2252,0.825877
ansA,0
pvcA,0
pvcB,0
pvcC,0
pvcD,0
ptxR,0
ptxS,0.604633
PA2260,0
PA2261,0
hemF,4.39206
pcaT,0
PA2262,0
PA2263,0
PA2264,0
PA2265,1.27199
PA2266,0.289788
PA2267,0.46002
PA2268,0
PA2269,0.17593
PA2270,0
PA2271,0
pcaB,0
pbpC,0
soxR,0
PA2274,0
PA2275,0
PA2276,0.502929
arsR,0
arsB,0
arsC,0
PA2280,0
PA2281,0
pcaD,0
PA2282,0
PA2283,0
PA2284,0
PA2285,0.364823
PA2286,0
PA2287,0.385368
PA2288,0
PA2289,1.51266
gcd,0.767388
PA2291,0.826829
pcaC,2.208
PA2292,0
PA2293,0
PA2294,0
PA2295,0.287967
PA2296,0
PA2297,0
PA2298,0.611949
PA2299,3.63794
chiC,0
PA2301,0
PA0233,0.655597
ambE,0.166233
ambD,0.641585
ambC,0.275291
ambB,0
ambA,0.565341
PA2307,0
PA2308,0
PA2309,0
PA2310,0
PA2311,0
PA0234,0.653866
PA2312,0
PA2312a,1.54232
PA2314,0.233337
PA2315,0
PA2316,1.04871
PA2317,0.904863
PA2318,0
PA2319,0
gntR,0
PA2321,0.505291
pcaK,0
PA2322,0
PA2323,0.772241
PA2324,0
PA2325,0
PA2326,0.203951
PA2327,0
PA2328,0
PA2329,0
PA2330,0
PA2331,0
PA0236,0
PA2332,0
PA2333,0
PA2334,0
PA2335,0
PA2336,0
mtlR,0
PA2338,0.221668
PA2339,1.24549
PA2340,0
PA2341,0
PA0237,0
mtlD,0
mtlY,0
mtlZ,0
PA2345,0
PA2346,0
PA2347,0
PA2348,0
PA2349,0
PA2350,0
PA2351,0.371425
PA0238,0
PA2352,0
PA2353,0.441744
PA2354,0.263243
PA2355,0
msuD,0
msuE,0
PA2358,0
PA2359,1.94303
PA2360,0
PA2361,0.191879
aroE,0.511127
PA0239,0.471814
PA2362,0
PA2363,0.573556
PA2364,0
PA2365,0
PA2366,0.748146
PA2367,0.771251
PA2368,0
PA2369,0.112724
PA2370,0
PA2371,0
PA0240,0
PA2373,0.0997434
PA2374,0
PA2375,0
PA2376,0
PA2377,0
PA2378,1.05337
PA2379,0
PA2380,0
PA2381,2.96575
lldA,0.679434
PA0241,0.218788
PA2383,0.241586
PA2384,0
pvdQ,0
pvdA,0.688833
fpvI,0
fpvR,0
pvdR,0
pvdT,0
opmQ,0
pvdP,0.227183
PA0242,0
PA2393,0
pvdN,0
pvdO,0
pvdF,0
pvdE,0.170849
fpvA,3.32359
pvdD,0.203142
pvdJ,0.0292073
PA2402,0.159806
PA2403,0.562779
PA0243,0
PA2404,2.81347
PA2405,0
PA2406,0
PA2407,0
PA2408,0
PA2409,0
PA2410,0.785319
PA2411,0
PA2412,0
pvdH,0
PA0244,0
PA2414,0.378611
PA2415,0
treA,0.226717
PA2417,0.869334
PA2418,0
PA2419,1.15276
PA2420,0
PA2421,0.33698
PA2422,0
PA2423,0
aroQ2,0
pvdL,0.0339818
pvdG,0
pvdS,1.09607
PA2427,0
PA2428,0
PA2429,0
PA2430,0.303028
PA2431,0.165785
bexR,0.243499
PA2433,0
PA0246,0.704641
PA2434,0
PA2435,0.139216
PA2436,1.61359
PA2437,0
PA2438,0
PA2439,0
PA2440,0
PA2441,0
gcvT2,0.350501
sdaA,0.695091
pobA,0
glyA2,0
gcvP2,0.499389
gcvH2,0
PA2447,0
PA2448,0
PA2449,1.5029
PA2450,0
PA2453,3.71715
PA2454,1.61809
PA0248,0.259969
PA2455,0
PA2457,7.71174
PA2458,0
PA2459,29.9387
PA2460,65.5053
PA2461,31.065
PA2462,3.47853
PA2463,1.92913
PA2464,0
PA2465,0
plcB,1.75882
PA0249,0
foxA,0.190256
foxR,0
foxI,0
PA2469,0.486998
gtdA,0.374261
PA2471,0
PA2472,0
PA2473,0
PA2474,0
PA2475,0
PA0250,1.27678
dsbG,0.978854
