key,KN1_R2
BSU11549,0
BSU11550,7427
BSU11560,4213.5
BSU11570,6584.2
BSU11580,772.5
BSU11590,356.8
BSU11600,1092
BSU11610,3873.2
BSU11620,7514.7
BSU11630,480.2
BSU11640,974.5
BSU11650,1962.3
BSU11660,2829.9
BSU11670,6876.5
BSU11680,1928
BSU11690,7995.4
BSU11700,10151.5
BSU11710,9041.3
BSU11720,8450.4
BSU11730,260.1
BSU11740,20.9
BSU11750,16.5
BSU11760,13
BSU11770,31.2
BSU11780,18.1
BSU11790,98.7
BSU11799,0
BSU11809,286.4
BSU11810,86.5
BSU11820,1168.7
BSU11839,309
BSU11840,13424.4
BSU11850,8193.8
BSU11860,5490.7
BSU11870,28766.3
BSU11880,62854.6
BSU11890,2738.7
BSU11900,6027.6
BSU11910,78
BSU11920,1852.7
BSU11928,160.1
BSU11929,164.4
BSU11930,182.9
BSU11940,27.8
BSU11950,57.7
BSU11960,0
BSU11970,139.5
BSU11980,575.7
BSU11990,48.6
BSU12000,23.6
BSU12010,1.3
BSU12020,0
BSU12030,1296
BSU12040,238.7
BSU12050,28.9
BSU12060,987.8
BSU12069,333.4
BSU12070,0
BSU12080,107.3
BSU12090,229.5
BSU12100,4597.3
BSU12110,167.5
BSU12120,413.4
BSU12130,44.2
BSU12140,767.9
BSU12150,31.6
BSU12160,148.5
BSU12170,68
BSU12180,0
BSU12190,90.3
BSU12200,2751.6
BSU12210,553.6
BSU12220,1333.4
BSU12229,5114.2
BSU12230,4362.4
BSU12240,3292.3
BSU12250,1834.7
BSU12260,2276.9
BSU12270,2007.5
BSU12280,29481.6
BSU12290,63355
BSU12300,19.5
BSU12310,3.7
BSU12320,9.6
BSU12330,26.9
BSU12340,143.7
BSU12350,188.7
BSU12360,102.9
BSU12370,1518.3
BSU12380,234.7
BSU12390,686.8
BSU12400,230.1
BSU12410,378.3
BSU12420,599.2
BSU12430,1344.2
BSU12440,2846.3
BSU12450,277.3
BSU12460,66.6
BSU12470,2981.4
BSU12480,478.7
BSU12490,1640.4
BSU12500,214.5
BSU12510,6296.3
BSU12519,0
BSU12520,98.7
BSU12530,125.3
BSU12539,52.1
BSU12540,4.7
BSU12550,435.9
BSU12560,0
BSU12570,0
BSU12580,15.2
BSU12590,20.6
BSU12600,35.1
BSU12610,20.3
BSU12619,47.7
BSU12620,12.1
BSU12630,5.3
BSU12640,51.6
BSU12649,0
BSU12650,14.8
BSU12660,32.6
BSU12671,0
BSU12672,0
BSU12680,284.7
BSU12690,42.3
BSU12700,29
BSU12710,22.7
BSU12720,74
BSU12730,98.1
BSU12740,236.1
BSU12749,77
BSU12750,30.7
BSU12760,0
BSU12770,0
BSU12780,16.8
BSU12790,0
BSU12800,0
BSU12810,161.9
BSU12820,6348.2
BSU12830,1692.1
BSU12840,8607.1
BSU12850,3386.1
BSU12860,30096.2
BSU12870,741.6
BSU12880,107.2
BSU12890,180.7
BSU12900,4671
BSU12910,1167.5
BSU12920,1268.8
BSU12930,744.9
BSU12940,1247.1
BSU12950,1432.7
BSU12960,491.5
BSU12970,186.3
BSU12980,554.8
BSU12990,226.9
BSU13000,669.6
BSU13010,2671.2
BSU13020,18.4
BSU13030,7207.2
BSU13040,91.2
BSU13050,0
BSU13060,44.2
BSU13070,144.4
BSU13080,249.2
BSU13090,3980
BSU13100,3417.7
BSU13110,20980.5
BSU13120,6935.5
BSU13130,8423.5
BSU13140,236.7
BSU13150,767.6
BSU13160,2388.2
BSU13169,214.3
BSU13170,1318.9
BSU13180,15207.3
BSU13190,584.6
BSU13200,2080.2
BSU13210,2426.5
BSU13220,2376.6
BSU13230,2840.7
BSU13240,2344.4
BSU13250,172.1
BSU13260,348.5
