Gene	T389pH67_1	T401pH67_2	T455pH67_3	T642pH61_1	T665pH61_2	T672pH61_3	T652pH565_1	T671pH565_2	T699pH565_3	T723pH565_4
Fisuc_0258	228.8701	368.8087	198.1313	228.5943	267.4312	242.0030	267.7143	266.6890	253.2438	240.3243
Fisuc_0259	82.2904	86.7024	86.3649	95.0590	83.7559	72.6009	78.2146	91.9617	75.7567	89.0090
Fisuc_0260	74.5756	109.9956	57.1533	67.8993	52.8985	84.7011	26.7714	33.9109	43.2895	33.2613
Fisuc_0261	1.2858	3.8822	2.5401	4.5266	5.8776	5.1858	15.2230	9.7709	21.6448	14.5225
Fisuc_0262	475.7412	471.0399	581.6932	801.2119	639.1900	546.2354	615.2180	575.9103	676.3990	589.3333
Fisuc_0263	848.6194	764.7928	1264.9921	1215.3977	1096.1742	1109.7567	1509.6989	1571.9707	1811.1260	1310.7746
Fisuc_0264	16.7152	12.9407	12.7007	20.3698	22.0410	29.3861	70.3406	85.0646	75.2156	46.8468
Fisuc_0265	968.1976	979.6077	542.3209	294.2303	392.3304	369.9189	1270.8557	1061.0084	654.2131	662.4143
Fisuc_0266	360.0203	291.1648	302.2772	321.3901	323.2685	314.6039	281.3625	291.4037	338.7406	280.6126
Fisuc_0268	19.2868	31.0576	10.1606	15.8432	17.6328	13.8287	16.7978	12.0700	10.8224	10.7748
Fisuc_0269	37.2878	91.8787	21.5912	45.2662	39.6739	55.3150	149.0801	160.9330	108.2238	60.4324
Fisuc_0270	27.0015	71.1736	38.1022	22.6331	36.7351	25.9289	59.3171	58.6256	48.7007	39.8198
Fisuc_0271	47.5741	46.5864	49.5328	40.7396	44.0821	51.8578	80.8392	81.6160	95.7781	59.9640
Fisuc_0272	163.2949	203.1683	114.3065	108.6389	117.5522	114.0871	113.3849	121.2745	109.8472	113.8378
Fisuc_0273	37.2878	51.7626	50.8029	31.6863	54.3679	58.7722	44.6191	45.9809	47.6185	39.8198
Fisuc_0275	21.8584	38.8220	25.4014	13.5799	10.2858	12.1002	14.1731	12.6447	18.9392	14.5225
Fisuc_0276	37.2878	40.1160	35.5620	58.8461	36.7351	43.2148	52.4930	48.8547	49.2418	47.3153
Fisuc_0277	32.1447	9.0585	72.3941	27.1597	32.3269	36.3005	35.1703	47.7051	51.4063	45.4414
Fisuc_0279	14.1437	15.5288	15.2409	13.5799	2.9388	12.1002	22.0471	24.1400	22.7270	15.4595
Fisuc_0280	43.7168	27.1754	35.5620	27.1597	24.9798	17.2859	13.6482	12.0700	11.3635	15.4595
Fisuc_0281	9.0005	7.7644	15.2409	13.5799	7.3470	1.7286	10.4986	9.1962	9.7401	9.3694
Fisuc_0282	361.3061	516.3322	294.6568	258.0174	337.9625	328.4327	280.8376	302.3242	255.9494	242.6666
Fisuc_0283	470.5980	370.1028	454.6859	280.6505	276.2476	278.3035	224.6701	266.1142	240.2569	226.2702
