Name,wildtype-rep1
CPE1065,1
CPE1066,147
CPE1067,94
CPE1068,65
CPE1069,46
CPE1070,38
CPE1071,66
CPE1072,26
CPE1073,29
CPE1074,40
CPE1075,34
CPE1076,96
CPE1077,161
CPE1078,1
CPE1079,123
CPE1080,23
CPE1081,10
CPE1082,29
CPE1083,31
CPE1084,24
CPE1085,34
CPE1086,67
CPE1087,1
CPE1088,387
CPE1089,12
CPE1090,18
CPE1091,107
CPE1092,71
CPE1093,83
CPE1094,63
CPE1095,1
CPE1096,19
CPE1097,33
CPE1098,13
CPE1099,5
CPE1100,2
CPE1101,2
CPE1102,6
CPE1103,3
CPE1104,1
CPE1105,0
CPE1106,2
CPE1107,2
CPE1108,2
CPE1109,0
CPE1110,0
CPE1111,0
CPE1112,0
CPE1113,0
CPE1114,0
CPE1115,0
CPE1116,0
CPE1117,0
CPE1118,0
CPE1119,0
CPE1120,0
CPE1121,0
CPE1122,1
CPE1123,0
CPE1124,0
CPE1125,0
CPE1126,1
CPE1127,1
CPE1128,0
CPE1129,1
CPE1130,0
CPE1131,0
CPE1132,4
CPE1133,1
CPE1134,0
CPE1135,0
CPE1136,0
CPE1137,0
CPE1138,3
CPE1139,0
CPE1140,0
CPE1141,0
CPE1142,146
CPE1143,7
CPE1144,47
CPE1145,5
CPE1146,40
CPE1147,10
CPE1148,11
CPE1149,26
CPE1150,10
CPE1151,24
CPE1152,34
CPE1153,146
CPE1154,32
CPE1155,55
CPE1156,38
CPE1157,33
CPE1158,585
CPE1159,40
CPE1160,17
CPE1161,179
CPE1162,106
CPE1163,20
CPE1164,3
CPE1165,246
CPE1166,40
CPE1167,742
CPE1168,80
CPE1169,91
CPE1170,59
CPE1171,185
CPE1172,56
CPE1173,66
CPE1174,142
CPE1175,10
CPE1176,185
CPE1177,8
CPE1178,0
CPE1179,1
CPE1180,0
CPE1181,0
CPE1182,0
CPE1183,7
CPE1184,1105
CPE1185,220
CPE1186,79
CPE1187,78
CPE1188,49
CPE1189,63
CPE1190,11
CPE1191,118
CPE1192,32
CPE1193,30
CPE1194,16
CPE1195,81
CPE1196,138
CPE1197,48
CPE1198,34
CPE1199,41
CPE1200,18
CPE1201,34
CPE1202,3
CPE1203,84
CPE1204,55
CPE1205,82
CPE1206,20
CPE1207,61
CPE1208,322
CPE1209,2112
CPE1210,1361
CPE1211,348
CPE1212,214
CPE1213,9
CPE1214,19
CPE1215,16
CPE1216,7
CPE1217,27
CPE1218,31
CPE1219,20
CPE1220,19
CPE1221,19
CPE1222,14
CPE1223,13
CPE1224,8
CPE1225,8
CPE1226,12
CPE1227,33
CPE1228,26
CPE1229,262
CPE1230,0
CPE1231,56
CPE1232,271
CPE1233,153
CPE1234,69
CPE1235,14
CPE1236,371
CPE1237,83
CPE1238,15
CPE1239,25
CPE1240,55
CPE1241,129
CPE1242,7
CPE1243,15
CPE1244,22
CPE1245,42
CPE1246,13
CPE1247,84
CPE1248,41
CPE1249,98
CPE1250,30
CPE1251,51
CPE1252,439
CPE1253,3
CPE1254,5
CPE1255,3
CPE1256,8
CPE1257,99
CPE1258,83
CPE1259,22
CPE1260,228
CPE1261,87
CPE1262,0
CPE1263,34
CPE1264,10
CPE1265,16
CPE1266,33
CPE1267,3
CPE1268,11
CPE1269,1
CPE1270,1
CPE1271,4
CPE1272,1
CPE1273,4
CPE1274,30
CPE1275,22
CPE1276,11
CPE1277,79
CPE1278,143
CPE1279,162
CPE1280,4
CPE1281,153
CPE1282,4
CPE1283,16
CPE1284,43
CPE1285,17
CPE1286,14
CPE1287,34
CPE1288,49
CPE1289,67
CPE1290,74
CPE1291,11512
CPE1292,204
CPE1293,2
CPE1294,52
CPE1295,226
CPE1296,37
CPE1297,160
CPE1298,1
CPE1299,792
CPE1300,23
CPE1301,249
CPE1302,241
CPE1303,152
CPE1304,1821
CPE1305,77
CPE1306,66
CPE1307,19
CPE1308,23
CPE1309,1
CPE1310,36
CPE1311,29
CPE1312,8
CPE1313,349
CPE1314,42
CPE1315,51
CPE1316,47
CPE1317,30
CPE1318,50
CPE1319,132
CPE1320,37
CPE1321,90
CPE1322,104
CPE1323,21
CPE1324,0
CPE1325,0
CPE1326,1
CPE1327,43
CPE1328,163
CPE1329,300
CPE1330,7
CPE1331,4
CPE1332,4
CPE1333,1
CPE1334,3
CPE1335,42
CPE1336,2
