Gene.ID,24hpi_CtE_Hep2_MOI_1_rRNAdep.Avg.RPKM
CT657,0.6621533
CT658,0.4931849
CT659,5.1503049
CT660,0.3651739
CT661,0.0958249
CT662,0.0985432
CT663,2.2439203
CT664,1.5088532
CT665,4.2520647
CT666,4.7017590
CT667,3.7933444
CT668,1.6078231
CT669,0.9063404
CT670,1.3629613
CT671,1.9278495
CT672,1.0919065
CT673,0.3486477
CT674,0.9937137
CTt27,10.9100608
CT675,0.1241487
CT676,0.2429847
CTt28,0.4247689
CTt29,0.5993628
CT677,0.2011572
CT678,1.0688862
CT679,0.2557391
CT680,0.0000000
CTt30,0.0000000
CT681,1.1091316
CT682,0.2396959
CT683,0.5132811
CT684,0.2511456
CT685,0.2045446
CT686,0.0969253
CT687,0.1752414
CT688,0.2668878
CT689,0.3592131
CT690,0.5255016
CT691,9.2383306
CT692,1.6109647
CT693,0.3125477
CT694,0.0548062
CT695,0.1435703
CT696,0.5460414
CT697,0.2909967
CT698,0.2085068
CT699,0.1355919
CT700,0.9372934
CT701,1.1981567
CT702,1.5853573
CT703,0.2980642
CT704,0.6123901
CT705,2.0342633
CT706,2.0805696
CT707,2.0090105
CTt31,0.1798610
CT708,1.7319874
CT709,1.7643284
CT710,0.7659968
CT711,0.3239656
CT712,0.4710570
CT713,1.6039666
CT714,0.1822843
CT715,0.0899184
CT716,0.0758885
CT717,0.0514966
CT718,0.2015387
CT719,0.5071788
CT720,0.1428338
CT721,0.1548703
CT722,0.4006992
CT723,0.0946037
CT724,0.1318399
CT725,0.1392375
CT726,0.2422809
CT727,0.4469377
CT728,0.8713812
CT729,0.5218453
CT730,0.1634162
CT731,0.5192421
CT732,0.3029468
CT733,0.7155128
CT734,3.2713814
CT735,0.6158263
CT736,1.1014171
CT737,0.4485638
CT738,0.2606162
CT739,0.1736878
CTt32,0.1088723
CTr01,182.6004202
CTr02,96.6123617
CTr03,0.5250971
CT740,0.8555276
CT741,1.4386200
CT742,0.2015838
CT743,4.8711078
CT744,0.0851770
CT745,0.1657089
CT746,0.2557788
CT747,0.2624309
CT748,0.3053151
CT749,0.4259985
CTr04,182.3135094
CTr05,104.1322595
CTr06,0.4896079
CT750,0.6840351
CT751,0.3457718
CT752,0.4760770
CT753,0.4693031
CT754,0.1385396
CT755,0.1614194
CTt33,0.1647661
CT756,0.1450712
CT757,0.1203813
CT758,0.5783325
CT759,0.8066703
CT760,0.3134425
CT761,0.3097616
CT762,0.4421543
CT763,1.2564397
CT764,0.0821851
CT765,0.2972354
CT766,0.2298371
CT767,0.2059597
CT768,1.5620945
CT769,3.9279781
CT770,2.1191563
CT771,1.7321041
