key	KN1_R2	KN2_R2	KN3_R2	KN4	KN5	KN6	KN7	KN8	KN9	KN10	KN11	KN12_R1	KN13_R1	KN14_R1
BSU22360	31677.8	33350.9	28518.4	66383.5	87565.5	34503	30630.2	1.3	33279.3	33785.1	51827.4	132877.8	77606.3	44772.6
BSU22370	11758.8	11973.8	7129.7	4415.6	3409.6	5848.6	5404.3	0	11794.6	9117.4	7739.2	4037.9	4432.6	4432.3
BSU22380	5945.2	6488.1	4903.1	4799.3	3268.8	4670.7	4042.3	3	7904.7	4569.1	4030.4	3294.8	3228.3	3883.6
BSU22390	1972	1717.7	808.9	407.8	1391.4	1489.8	873.7	0	2616.4	848.1	401.7	155.1	980.6	626.6
BSU22400	5820.8	3805.5	2746.4	1487.6	2303.5	3663	3329.9	0.7	4362.6	2764	2453.4	1516.5	2836.3	2958.1
BSU22410	6023.2	5456.5	4563.8	15344.2	5356.8	5322.7	6828.7	0	4751.3	3652.6	5064.3	10818.4	4197.3	2533.1
BSU22420	7217.8	8149.1	9426.9	44089.3	10061.3	9397.2	12516.3	1.7	5439.9	6236	7598.1	18508	6831.2	5303.6
BSU22430	8270.8	8337	9747.1	61519.3	13134.5	10961.5	12164.6	1	4584.9	6389.8	11261.4	28163	9294.3	6055.2
BSU22440	2049.6	1689	667.3	0	60.7	479.9	327	0	854.1	744.8	367.5	263.5	181	91
BSU22450	1578.3	1517.6	1011.2	0	198	638	608.1	0	1529.7	1139.5	801.9	271.1	182	234.3
BSU22460	1233.9	913.9	584.7	0	108.3	446.5	426.7	0	575.6	582.2	451.7	99.9	177.2	83.9
BSU22470	1877.6	1627.2	1114.3	0	477.4	1189.9	1093.3	0	1000	959.4	985.2	498.2	306.2	253.2
BSU22480	3036.8	2558.5	2253.2	0	930.5	3166.1	2320.3	0	1791.8	1616.7	1883.4	1063.7	644.5	1200.7
BSU22490	829.1	816	482.2	0	125.4	650.8	463.8	0	454.1	724.4	374.3	359.5	482.2	486.7
BSU22500	779.6	443.2	461.7	0	141.4	782.3	642.1	0	367	352.7	355.7	481.2	296.7	326.3
BSU22510	552.6	1001.6	1545.9	1545.6	1364.3	1025	1710.2	0	952.7	858	1062.1	2640.4	1010.9	1247.2
BSU22520	1486.7	1293.5	1803.7	1863.8	1455.6	1162.3	1692.7	4.3	1534.9	1315.2	1677.2	792.1	540.8	891.5
BSU22530	1265.8	1192.3	1298.2	0	902.7	961.9	1492.5	0	1471.7	1289.7	1112.4	219	432.3	820.9
BSU22540	1363.5	812	554.2	780.8	535.6	518.5	764.8	0	561.6	309.1	551.9	1700.4	588.9	604.4
BSU22550	973.7	741.5	533.7	8729.1	1034.1	576.7	822.5	2.3	357.5	371.2	431.3	881.3	674	569.5
BSU22560	1277.2	760.6	570.6	49308.9	1807.2	914.3	1538.8	0	955.7	834.2	547.2	2191.3	1006.5	521.7
BSU22570	424.6	385.5	197.3	1302.6	374.7	323.9	234.6	0	593.3	277	208.8	243.1	235.4	177.2
BSU22580	2469.4	6136.9	7738.9	4416.2	4053.5	3829.9	4313.5	0	5038.5	5725.4	9041.6	3268	4027.7	4544.7
BSU22590	1829.7	1880.1	1532.2	792.1	3484.2	2236.1	2333.6	0	2419.3	1892	2206.7	3004.2	3060.2	2660.2
BSU22600	40561.1	32114.5	16776.9	704.3	2222.1	13445.5	8765.7	0	28617.6	34121.2	25808.9	1358.2	8806.1	13669.7
BSU22610	39915.9	32732.3	18988.2	824.8	11071.3	27750.5	21407.2	0	40692.6	36381.5	33391.4	11910.9	26820.1	29779.2
BSU22620	117368.8	93130	79515.7	5849.4	42576.2	87512.4	83236.4	1.6	117654.6	108071.3	148190.7	47643.7	97456	122294.5
BSU22630	44642.5	42677.5	33534.8	1175.2	21549	37777.3	35461.2	0	61223.4	54154.2	57457.6	26125.3	53734.3	62627.9
BSU22640	2635.7	1676.7	1016.7	979.6	228.2	1826.9	1333.2	0	1974.4	1771.2	1997.8	249.6	493.1	1453.3
BSU22650	2124.3	751.4	711.2	0	116	1274.1	638.9	0	1020.8	1248.1	757	89.8	152.7	743.7
BSU22660	2932.7	2115.4	927.1	627.6	293	2464.1	1220.3	0	1820.4	2320.1	1562.2	295.9	448.4	1343.7
BSU22670	4881	2659.1	1196.2	0	321.4	1758.8	1379.4	0	2287.3	2260.3	1729	185.9	490.9	859
BSU22680	4019.4	3321.9	2282.5	0	782	3076.4	2568.7	0.9	3271.7	3371.9	3700.7	343.1	1409.5	2414.1
BSU22690	121160.9	93827.6	47102.2	4857.5	3673.4	33391	18780	0	90837	97412.5	94293.7	3676.9	26666.2	29204.7
BSU22700	151744.6	121456.7	77068.4	7552.5	4864	45566.2	29829.8	0	132431.5	143405.7	131197.2	7274.8	41827.7	46628.3
BSU22710	100125.8	74817.5	49083.4	1661.5	3985.1	32785.2	21667.8	0.8	78075.6	92602.3	92371.7	4997.1	35723.4	30882.5
BSU22720	1169.1	1311.8	1473.1	0	60.5	431.4	371	0	1250.5	934.9	1235.4	55.7	260.8	245.1
BSU22730	4723.4	4823.4	3835.9	1425.6	1563.6	2649.6	2960.9	0	4352.6	3062.4	4345.9	2141.7	3236.6	3849.9
BSU22740	13311.7	9834.7	4921.7	592.7	4813	3993.7	2494.5	0	6973.4	7594.4	4908.9	4155.2	2935.6	2093.2
BSU22750	21569	14347.5	10488.8	1966.7	11940.8	8796.2	5512.8	0	11234.5	10302.2	9282.9	11248.8	6581.7	5331
BSU22760	2660.1	3606.6	2055.5	770.2	3641	2830.2	1952	0	2865.6	2555.3	2267.3	2907.6	2868.4	2182
BSU22770	32641.8	31241.5	30920.8	4266.4	119190.8	51888	47155	0	32744	31389.5	32243	97078.6	82434.7	71147.8
BSU22780	27755.7	26254.7	28185.3	2756.3	96171.6	50852.1	41246.2	0	26534.6	34131.3	38392.7	92446.4	76646.1	61896.5
BSU22790	108788.6	168506.9	113098.9	3386.5	9277.9	46394.5	48121.6	11.6	108848.6	133833.8	86127.7	9147.3	20393.9	51929.4
BSU22800	1485.5	1074	819.6	455	381.5	620.7	822.4	0	1292.3	1099.1	1034.5	322.9	668	761.8
BSU22810	8407.6	8052.3	5995.6	0	3548.4	5454.6	3986.8	0.5	10021.6	8467.6	8185.9	3029.1	5184.7	4335.1
BSU22820	8617	8644.9	5635.8	2905.4	3612.9	5796.9	4285.2	0	9621.5	9199.4	7747.5	2610.8	7337.1	6939.4
BSU22830	14390	8901.3	8270.5	5700	11923.5	7002.3	6713.2	0	8071.5	6970	11108.6	5233.9	3945.6	4822.1
BSU22840	8854.4	7841.3	7235.5	7488.9	10199	6797.1	6765.4	2.1	7408.8	8815.7	9032.9	7287.7	4180.6	5776.2
BSU22849	292.1	298.6	142.6	447	1315	447.8	512.3	0	422	478.8	220.6	1924.4	1104.8	394
BSU22850	176.8	257.6	95	331.5	1155.9	394.2	285.8	0.3	162.2	139	170.3	757.6	711.8	313.8
BSU22860	663.6	398.4	177	825.1	100.7	144.2	255.8	0	417.9	828.3	387.1	0	114	49.9
BSU22869	1463.3	1355.1	1020.4	472368.4	5027.2	1593.1	1414.6	1039.8	2061.1	1652.2	1778.6	7929.9	3736.7	2753.2
BSU22870	11097.8	10705.4	8025.6	780.3	2346.1	5281.6	4846.1	0	9533.3	10265.8	7913.8	1626.3	4674.1	4431.2
BSU22880	42361.5	34883.3	34274.9	3987.2	25023.6	46950.6	35053.4	1.5	36684.5	41308.6	48399.5	14922.9	35824.1	35908.1
BSU22890	19482	11363.5	7909.2	0	1496.7	3938.8	3188.3	0	9908.4	8870.7	11498.6	1713	1888.1	2363.8
BSU22900	95	158.8	190.7	0	108.3	131.2	120.4	0	441	44.1	180.5	97.7	0	40.2
BSU22910	984.1	554.4	428.9	0	123.8	394.9	423.7	2.6	615.8	612.8	617.5	151.2	473.1	371.4
BSU22920	244.4	228.1	279.9	1340	636.6	339.6	386.2	5.5	289.1	324.8	286.1	227.9	588.6	542.8
BSU22930	22.4	7.6	15.4	0	68	17.6	33.4	0	0	18.1	16.4	80.4	16	93.9
BSU22940	1379.9	1696.5	1731.9	0	5187.8	3010.2	3057.8	0	1884.6	1949.7	1827.9	4582.4	3720.9	3662.3
BSU22950	5718.8	6156.9	6300.4	2803.5	56711.1	22652.7	15037	0	6499.9	6463	8134.6	67731.3	34805	24493.3
BSU22960	5536.4	5086.9	3795.7	44376.7	1457.6	1897	1613.1	1.1	4448.2	4572.5	4356.8	1856.1	1617.7	1535.3
BSU22970	31442.3	29650.8	38501.4	40306.2	46399.3	52663.3	40387.5	0	51547.7	39388.7	46314.5	30719.2	51560.2	54311.2
BSU22980	2591.1	1294.7	789.5	14884.6	1516	3213	3078.6	0	4316.1	1196.7	778.2	502.5	3061.7	2406.4
BSU22990	1681.2	2611.5	1982	1272.1	1411.9	1981.5	1991.5	0	2286.6	2983.2	2594	692.6	788	1216.1
BSU23000	2365	2757	2208	1813.2	1496.6	2214.8	2695.6	3.5	2515.1	2479.5	2626.6	1321.9	1792.6	2121.2
BSU23010	4197.2	6930.7	6188.3	7921.1	5026	6901.7	6197.3	1	4555.9	4594.4	5633	4162.9	5033	4826.1
BSU23020	7124.1	5074.1	3952.6	2034.4	2695.9	3116.1	2455.7	0	4297.2	4102.6	4077.5	3262.9	2664	2261.8
BSU23030	3244.5	3218.6	2623.1	0	3724.1	2941.2	2244.3	0	2906	2885.1	3236.5	3515.4	2650.4	2367.8
BSU23040	69122.3	72072.7	75875.1	38421.4	178508	111480.6	112722.8	9	105205.4	101940.4	115215.1	222091.5	189094	137501.1
BSU23050	1610.5	3449.6	3162	3535.2	6366.5	5764	5787.3	0	4362.5	4063.6	6051.4	3264.9	3850.1	5613.9
BSU23060	757002.4	231633.6	374277.9	133500.7	225648	159756.2	263931.7	0	599477.5	411665	213757.8	398427.9	295119	183210.7
BSU23070	46782.9	68619.7	67667.2	0	17905.2	26259.1	24517.8	0.3	62459.9	90301.1	86496.2	5902.6	30508.3	40828.9
BSU23080	1998.6	1945.6	1762.4	2011.1	6670.5	2948.5	1610.4	0	1992.2	2347.4	2217.5	9976.6	7038.9	3888.7
BSU23090	3449.3	5449.6	4428.9	2324.3	426.6	334.4	637.2	0	3852	5264.5	4169.3	450.1	260	496
BSU23100	10314.4	7418.2	6800.9	1674.7	515.2	790.9	876.8	0	5656.2	5045.5	5856.5	112.3	346.1	968.7
BSU23110	2892.3	2423	2091.4	5688.7	10635.1	4952	4137.7	0	2426.7	2066.9	2015.5	12825.3	9031.2	5119
BSU23120	2729.7	2312.5	1731.6	4108.6	11026.2	5340.5	3707.3	0	2101	2071.8	2470	14199.6	9844.5	5693.1
BSU23130	1449.2	1053.6	466.7	607.8	368	551.2	755.2	1	808.5	843	426.1	453.4	253.8	173.9
BSU23140	1525.7	1267.8	998.6	1305.6	462.8	920.7	976.8	1.2	1380.7	1127.6	945.3	686.5	521.1	404.4
BSU23150	945	1233.7	1003.5	1407.5	725.3	939.5	766	0	734.5	561	765.1	870.5	667	691.9
BSU23160	2948.4	2456.6	2489.7	12162.4	1651.8	1368.9	2662.1	0	2627	1802.9	1998.8	3742.4	1450.7	1457.7
BSU23170	109.6	101	129.5	792.1	90.1	110.9	111.5	0	63.2	79.2	75.2	53.1	80.4	42.2
BSU23180	37.3	49	57.6	0	76.1	4.9	0	0	56.8	67.4	14.3	0	0	0
BSU23190	86.2	149.8	186.6	133.5	55.5	89.5	97.1	0	74.9	95	69	43.1	0	31.2
BSU23200	8582	7675.1	7191.3	2827.9	2917.4	3759.7	4494.5	0	6316.9	7803.2	5682.9	4150.8	2863.4	2194.7
BSU23210	3558.3	2923.3	2390.9	2694.1	1104.8	1621.1	1743.5	0	2287.3	2118.7	1954.2	1092.7	1031.8	676.7
BSU23220	1358.4	1626.5	1074.2	0	742.6	1015.7	1214	0	1208.2	1118.5	1096.3	1254.2	727.3	944.3
BSU23230	1383.1	1249.3	1095.2	1720	8358.6	3873	3151.9	0	1266.2	1027	1773.5	14618.5	7359.8	3649.3
BSU23240	36777.5	33361.2	37930.3	33377.3	125849.7	68008.6	81824.9	0	48709.8	41945.4	39602.7	104253.5	95742.4	88591.9
BSU23250	7368.4	14306.8	11025.6	10317	11545.5	30058.1	40669.5	0	7152.6	9919.7	15909.9	10445.6	11936.1	34310.6
BSU23260	11916.6	14421	12136	4060.3	13759.1	39080.2	51751.3	0	11965.2	13083.9	17021.6	10544.6	15531.3	38453.4
BSU23270	5465.1	5475.3	5996.2	2900	8343.6	24511.2	32621.5	0	6445.2	6916.6	7664.4	5324.8	10125.9	27160.2
BSU23280	11386.8	11028.8	11373.4	19493.5	15616.2	38842.7	45494.7	1.5	10092.3	10294.4	16818.9	8497.9	17316.4	39210
BSU23300	355.9	161.9	79.5	0	61.5	392.3	243.7	0	733.7	297.7	147	6.7	151.1	231.5
BSU23310	16849.5	18581.6	14800.1	5879.9	40537.7	21915	17535.7	0	23658.2	23325.6	30184.3	51962.4	36905	22021.3
BSU23320	0	13.6	0	0	0	0	0	0	0	0	0	0	29.8	0
BSU23328	2490.1	3035.2	2818.7	0	1224	687.6	892.1	0	3092.6	3525.8	3911.5	572.2	346	599.1
BSU23329	253.1	64	193.5	0	246.9	297.5	447.6	0	74.8	357.2	65.1	353.8	107.9	111.6
BSU23330	63.2	99.5	130.9	0	0	39.5	114.1	0	145.9	59.9	63.8	119.1	35.1	21
BSU23340	203.1	78.9	72.1	0	88.2	172.7	0	0	254.9	53.5	0	91.8	38.4	8.4
BSU23350	0	31.7	33.4	0	0	8.1	0	0	0	65.9	17.7	0	88.8	29.7
BSU23360	8487.6	9848.3	8273.5	1549.5	4327.5	5805.2	6016.5	0	8455.5	11728.9	7901.2	5030.3	5834.4	5503.3
BSU23370	6442.2	1740.8	1010.2	40196.4	2497	5043.6	3758.6	0	6470	1170.9	1150.4	1888.7	10247.3	8519.6
